image,species,individual_id,box
1_GT.png,udc,1,0 1 2 3
1_input.png,udc,1,0 1 2 3
2_GT.png,udc,2,0 1 2 3
2_input.png,udc,2,0 1 2 3
3_GT.png,udc,3,0 1 2 3
3_input.png,udc,3,0 1 2 3
4_GT.png,udc,4,0 1 2 3
4_input.png,udc,4,0 1 2 3
5_GT.png,udc,5,0 1 2 3
5_input.png,udc,5,0 1 2 3
6_GT.png,udc,6,0 1 2 3
6_input.png,udc,6,0 1 2 3
8_GT.png,udc,8,0 1 2 3
8_input.png,udc,8,0 1 2 3
9_GT.png,udc,9,0 1 2 3
9_input.png,udc,9,0 1 2 3
10_GT.png,udc,10,0 1 2 3
10_input.png,udc,10,0 1 2 3
11_GT.png,udc,11,0 1 2 3
11_input.png,udc,11,0 1 2 3
12_GT.png,udc,12,0 1 2 3
12_input.png,udc,12,0 1 2 3
13_GT.png,udc,13,0 1 2 3
13_input.png,udc,13,0 1 2 3
14_GT.png,udc,14,0 1 2 3
14_input.png,udc,14,0 1 2 3
15_GT.png,udc,15,0 1 2 3
15_input.png,udc,15,0 1 2 3
16_GT.png,udc,16,0 1 2 3
16_input.png,udc,16,0 1 2 3
17_GT.png,udc,17,0 1 2 3
17_input.png,udc,17,0 1 2 3
18_GT.png,udc,18,0 1 2 3
18_input.png,udc,18,0 1 2 3
19_GT.png,udc,19,0 1 2 3
19_input.png,udc,19,0 1 2 3
20_GT.png,udc,20,0 1 2 3
20_input.png,udc,20,0 1 2 3
21_GT.png,udc,21,0 1 2 3
21_input.png,udc,21,0 1 2 3
22_GT.png,udc,22,0 1 2 3
22_input.png,udc,22,0 1 2 3
23_GT.png,udc,23,0 1 2 3
23_input.png,udc,23,0 1 2 3
24_GT.png,udc,24,0 1 2 3
24_input.png,udc,24,0 1 2 3
25_GT.png,udc,25,0 1 2 3
25_input.png,udc,25,0 1 2 3
26_GT.png,udc,26,0 1 2 3
26_input.png,udc,26,0 1 2 3
27_GT.png,udc,27,0 1 2 3
27_input.png,udc,27,0 1 2 3
28_GT.png,udc,28,0 1 2 3
28_input.png,udc,28,0 1 2 3
29_GT.png,udc,29,0 1 2 3
29_input.png,udc,29,0 1 2 3
30_GT.png,udc,30,0 1 2 3
30_input.png,udc,30,0 1 2 3
